"Language Code","Language Name","Title (<= 30 chars)","Short Description (<= 80 chars)","Full Description (<= 4000 chars)"
"en-US","English (United States)","Calyx: Cycle & Hormone Sync","Private cycle tracking, circadian rhythm sync, and biomarker insights.","Calyx is an offline-first, privacy-focused menstrual cycle and circadian rhythm companion designed to help you understand your body and optimize your daily energy.

CIRCADIAN & CYCLE SYNCHRONIZATION
Track where you are across the four natural phases of your cycle:
• Menstrual Phase: Rest, cellular renewal, and metabolic recovery
• Follicular Phase: Rising estrogen, vitality, creativity, and stamina
• Ovulatory Peak: Maximum energy, verbal communication, and confidence
• Luteal Phase: Progesterone focus, steady endurance, and mindful nutrition

DAILY BIOMARKER LOGGING
Record essential health signals in seconds:
• Flow volume and cycle dates
• Basal Body Temperature (BBT) and thermal shift tracking
• Heart Rate Variability (HRV) and nervous system recovery
• Sleep duration, rest quality, and energy fluctuations
• Mood states, symptom patterns, and physical sensations

PERSONALIZED HORMONAL GUIDANCE
Access tailored wellness protocols tailored to your current phase:
• Athletic Training: Match cardio strain and strength workouts to hormonal shifts
• Phase Nutrition: Nutrient-dense foods supporting metabolic balance
• Sleep Optimization: Circadian habits to deepen restorative rest
• Daily Vitality Tips: Evidence-informed lifestyle recommendations

SYMPTOM DETECTIVE
Identify cross-cycle trends and potential symptom triggers. Analyze multi-variable correlations between sleep deficiency, basal temperature spikes, and discomfort patterns to uncover actionable lifestyle changes.

CLINICAL REPORT & DOCTOR EXPORT
Prepare for your next OB-GYN, endocrinologist, or fertility specialist visit:
• Generate comprehensive A4 medical-grade PDF summaries
• Review biphasic temperature shifts and cycle regularity metrics
• Complete physician summary transcripts ready for clinical review

HAVEN SECURITY VAULT
Your reproductive privacy is uncompromising:
• Local-Only Storage: All health data remains strictly on your device
• Zero Cloud Tracking: No central servers, data brokers, or advertising trackers
• Biometric & PIN Protection: Secure your sensitive records with device security
• Decoy Vault Protocol: An optional secondary PIN unlocks an authentic local weather dashboard for discrete privacy under duress
• Instant Local Wipe: Erase all data permanently at any time

WELLNESS DISCLAIMER
Calyx is designed for personal health awareness, wellness tracking, and educational purposes. It is not intended as medical advice, diagnostic tool, treatment, or contraceptive method. Consult a qualified medical practitioner for healthcare decisions."
"ar","Arabic","Calyx: تتبع الدورة والهرمونات","تتبع خاص للدورة الشهرية والمؤشرات الحيوية مع حماية الخصوصية الكاملة.","تطبيق Calyx هو رفيقك لمزامنة الدورة الشهرية والوتيرة اليومية، مصمم لمساعدتك على فهم جسمك وتنسيق طاقتك بخصوصية تامة.

مزامنة مراحل الدورة
تابعي موقعك ضمن المراحل الهرمونية الطبيعية الأربع:
• مرحلة الطمث: الراحة، تجديد النشاط الخلوي، والتعافي الأيضي
• المرحلة الجريبية: ارتفاع الإستروجين، الحيوية، الإبداع والقدرة على التحمل
• مرحلة التبويض: ذروة الطاقة، وضوح التعبير، والتواصل الاجتماعي
• المرحلة الأصفرية: التركيز، التحمل الثابت، والعناية الغذائية المدروسة

تسجيل المؤشرات الحيوية اليومية
سجلي إشارات جسمك الأساسية بسهولة:
• كمية التدفق ومواعيد الدورة الشهرية
• درجة حرارة الجسم الأساسية ومتابعة الارتفاع الحراري
• تقلب معدل ضربات القلب والتعافي العصبي
• ساعات النوم وجودة الراحة وتذبذب مستويات الطاقة
• الحالة المزاجية، الأعراض الجسدية، والملاحظات المشفرة

إرشادات هرمونية مخصصة
احصلي على إرشادات متناغمة مع مرحلتك الحالية:
• التدريب الرياضي: مواءمة تمارين القوة والكارديو مع الدورة
• التغذية المرحلية: أطعمة غنية تدعم التوازن الهرموني
• تحسين النوم: عادات تدعم النوم العميق
• نصائح الحيوية: إرشادات مستندة إلى مبادئ الصحة والراحة

مكتشف الأعراض
استكشفي الارتباطات بين قلة النوم والحرارة الأساسية وتغيرات المزاج لاكتشاف العوامل المؤثرة على راحتك.

التقارير السريرية وتصدير الملفات
جهزي مراجعتك الطبية بسهولة:
• تصدير ملخص PDF سريري مفصل بصيغة A4
• استعراض منحنيات الحرارة ونمط انتظام الدورة

خزنة الأمان HAVEN
حماية تامة لبياناتك الشخصية:
• تخزين محلي بالكامل دون خوادم سحابية
• قفل بيومتري وبرمز PIN
• وضع التمويه برمز PIN يعرض لوحة طقس لحمايتك في حالات الضغط
• مسح فوري لكافة السجلات متى أردت

إخلاء مسؤولية
تطبيق Calyx مخصص لأغراض التوعية الصحية والعافية الشخصية، ولا يُعد بديلاً عن الاستشارة الطبية أو وسيلة لمنع الحمل."
"bn","Bengali","Calyx: মাসিক ও হরমোন ট্র্যাকার","ব্যক্তিগত মাসিক চক্র ট্র্যাকিং, বায়োমার্কার বিশ্লেষণ এবং গোপনীয়তা সুরক্ষা।","Calyx হলো অফলাইন-ফার্স্ট, গোপনীয়তা-সুরক্ষিত মাসিক চক্র এবং বায়োরিদম ট্র্যাকার, যা আপনাকে আপনার শরীরের হরমোন পরিবর্তনের সাথে দৈনন্দিন শক্তি সমন্বয় করতে সাহায্য করে।

মাসিক চক্রের চার পর্যায় সমন্বয়
• মাসিক পর্যায়: বিশ্রাম, কোষের পুনরুজ্জীবন ও বিপাকীয় পুনরুদ্ধার
• ফলিকুলার পর্যায়: শক্তি বৃদ্ধি, সৃজনশীলতা ও উদ্যম
• ওভুলেটরি শীর্ষ: সর্বোচ্চ কর্মক্ষমতা ও আত্মবিশ্বাস
• লুটিয়াল পর্যায়: একাগ্রতা, স্থির সহনশীলতা ও পুষ্টি সচেতনতা

দৈনিক বায়োমার্কার লগিং
• রক্তপ্রবাহের মাত্রা এবং চক্রের তারিখ
• বেসাল বডি টেম্পারেচার (BBT) ট্র্যাকিং
• হার্ট রেট ভ্যারিয়েবিলিটি (HRV) ও স্নায়ুতন্ত্রের পুনরুদ্ধার
• ঘুমের সময় এবং শক্তির ওঠানামা
• মেজাজ, শারীরিক লক্ষণ এবং ব্যক্তিগত নোট

হরমোন অনুযায়ী ব্যক্তিগত পরামর্শ
• ব্যায়াম ও শারীরিক কসরতের সঠিক সমন্বয়
• প্রতিটি পর্যায়ের জন্য উপযুক্ত পুষ্টিকর খাবার
• পর্যাপ্ত ও গভীর ঘুমের অভ্যাস
• স্বাস্থ্যকর জীবনযাপনের পরামর্শ

লক্ষণ অনুসন্ধান ও ডায়াগনস্টিক
ঘুমের অভাব, শরীরের তাপমাত্রা এবং অস্বস্তির মধ্যকার পারস্পরিক সম্পর্ক শনাক্ত করে সঠিক জীবনযাত্রা বেছে নিন।

মেডিকেল রিপোর্ট ও পিডিএফ এক্সপোর্ট
চিকিৎসক বা গাইনিকোলজিস্টের সাথে পরামর্শের জন্য প্রস্তুত করুন মেডিকেল-গ্রেড A4 পিডিএফ রিপোর্ট।

হেভেন সিকিউরিটি ভল্ট
• সম্পূর্ণ স্থানীয় ডিভাইসে ডেটা সংরক্ষণ (কোনো ক্লাউড সার্ভার নেই)
• বায়োমেট্রিক ও পিন সুরক্ষা
• জরুরি পরিস্থিতিতে ডিকয় পিন দিয়ে আবহাওয়া ড্যাশবোর্ড খোলার সুবিধা
• যেকোনো সময় এক ক্লিকে সমস্ত ডেটা স্থায়ীভাবে মুছে ফেলার সুবিধা

স্বাস্থ্য দাবিত্যাগ
Calyx শুধুমাত্র স্বাস্থ্য সচেতনতা ও জীবনযাপনের সুবিধার জন্য তৈরি। এটি চিকিৎসকের বিকল্প বা গর্ভনিরোধক পদ্ধতি নয়।"
"cs","Czech","Calyx: Sledování cyklu a těla","Soukromé sledování menstruačního cyklu, biomarkerů a tělesné teploty.","Calyx je offline aplikace zaměřená na ochranu soukromí pro sledování menstruačního cyklu a cirkadiánních rytmů, která vám pomůže lépe porozumět svému tělu.

FÁZE MENSTRUAČNÍHO CYKLU
• Menstruační fáze: Regenerace, odpočinek a buněčná obnova
• Folikulární fáze: Růst energie, kreativity a fyzické vytrvalosti
• Ovulační fáze: Vrchol vitality, sebevědomí a verbální komunikace
• Luteální fáze: Soustředění, vyrovnanost a stabilní tempo

DENNÍ ZÁZNAM BIOMARKERŮ
• Intenzita krvácení a dny periody
• Bazální tělesná teplota (BBT) a teplotní posun
• Variabilita srdeční frekvence (HRV) a regenerace nervové soustavy
• Délka a kvalita spánku, hladina energie
• Nálada, fyzické symptomy a soukromé poznámky

HORMONÁLNÍ DOPORUČENÍ
• Přizpůsobení tréninku podle hormonální fáze
• Fázová výživa podporující hormonální rovnováhu
• Spánková hygiena pro hlubokou regeneraci

DETEKTOR SYMPTOMŮ
Hledejte souvislosti mezi nedostatkem spánku, teplotními výkyvy a fyzickým diskomfortem napříč cykly.

LÉKAŘSKÝ REPORT A EXPORT
• Generování přehledného lékařského souhrnu ve formátu A4 PDF
• Podklad pro vašeho gynekologa nebo endokrinologa

BEZPEČNOSTNÍ TREZOR HAVEN
• Úložiště pouze v zařízení: Žádné cloudové servery ani reklamní trackery
• Biometrické ověření a PIN kód
• Falešný PIN (Decoy): Otevře neutrální obrazovku s počasím pro ochranu soukromí
• Okamžité smazání všech dat jedním dotykem

UPOZORNĚNÍ
Aplikace Calyx slouží pouze k osobnímu sledování životního stylu. Nenahrazuje odbornou lékařskou péči ani antikoncepci."
"da","Danish","Calyx: Cyklus & Hormonbalance","Privat cyklussporing, biomarkører og døgnrytme med fuld databeskyttelse.","Calyx er en offline-først, privatlivsfokuseret app til sporing af menstruationscyklus og døgnrytme, der hjælper dig med at forstå kroppens signaler.

CYKLUS- OG DØGNRYTMESYNKRONISERING
• Menstruationsfase: Hvile, restitution og metabolisk genopbygning
• Follikulærfase: Stigende østrogen, vitalitet og kreativitet
• Ægløsningsfase: Maksimal energi, selvtillid og social kontakt
• Lutealfase: Fokus, udholdenhed og næringsrig kost

DAGLIG REGISTRERING AF BIOMARKØRER
• Blødningsintensitet og cyklusdatoer
• Basaltemperatur (BBT) og termisk skift
• Hjerterytmevariabilitet (HRV) og restitution
• Søvnlængde, energisvingninger og humør
• Fysiske symptomer og private notater

PERSONLIG VEJLEDNING
• Træning tilpasset hormonelle udsving
• Kostvalg der støtter hormonbalancen
• Søvnoptimering og velvære

SYMPTOMDETEKTIV
Opdag mønstre på tværs af cyklusser mellem søvnmangel, temperaturændringer og ubehag.

KLINISK RAPPORT OG PDF-EKSPORT
• Opret overskuelige medicinske A4 PDF-rapporter til din læge eller gynækolog
• Viser temperaturkurver og cyklusregelmæssighed

HAVEN SIKKERHEDSHVÆLV
• Kun lokal lagring uden cloud-servere
• Biometri og PIN-kode
• Aflednings-PIN (Decoy): Viser en vejrmenu for diskret beskyttelse
• Øjeblikkelig sletning af alle data

ANSVARSFRASKRIVELSE
Calyx er et værktøj til personligt velbefindende og sundhedsbevidsthed. Appen er ikke medicinsk rådgivning eller prævention."
"de","German","Calyx: Zyklus & Hormon-Sync","Privates Zyklustracking, Biomarker-Analyse und hormonelle Tagesrhythmen.","Calyx ist ein offline-fähiger, datenschutzorientierter Zyklus- und Biorhythmus-Begleiter, der Ihnen hilft, die Signale Ihres Körpers optimal zu verstehen.

ZYKLUS- & ZIRKADIANE SYNCHRONISATION
Verfolgen Sie Ihre vier natürlichen Zyklusphasen:
• Menstruationsphase: Ruhe, zelluläre Regeneration und Erholung
• Follikelphase: Steigendes Östrogen, Vitalität, Kreativität und Ausdauer
• Ovulationsphase: Energiehöhepunkt, Kommunikationsstärke und Klarheit
• Lutealphase: Progesteronfokus, stabile Belastbarkeit und achtsame Ernährung

TÄGLICHE BIOMARKER-PROTOKOLLIERUNG
• Blutungsstärke und Zyklustermine
• Basaltemperatur (BBT) und Erfassung des Temperaturanstiegs
• Herzfrequenzvariabilität (HRV) und Erholung des Nervensystems
• Schlafdauer, Erholungsqualität und Energieschwankungen
• Stimmungslagen, körperliche Empfindungen und verschlüsselte Notizen

INDIVIDUELLE HORMONELLE EMPFEHLUNGEN
• Trainingssteuerung: Ausdauer- und Krafttraining passend zur Hormonlage
• Phasenernährung: Nährstoffreiche Kost zur Unterstützung der Balance
• Schlafoptimierung: Routinen für tiefe Regeneration

SYMPTOM-DETEKTIV
Analysieren Sie zyklusübergreifende Zusammenhänge zwischen Schlafmangel, Temperaturschwankungen und Beschwerden.

KLINISCHER BERICHT & ARZT-EXPORT
Bereiten Sie Arztbesuche strukturiert vor:
• Medizinischer A4-PDF-Export für Gynäkologen und Endokrinologen
• Grafische Basaltemperaturkurven und Zyklusregelmäßigkeit

HAVEN SICHERHEITS-TRESOR
• Lokale Speicherung ohne Cloud-Server
• Schutz durch Biometrie und PIN
• Tarn-PIN (Decoy Mode): Zeigt im Bedarfsfall eine Wetter-Übersicht an
• Vollständige Datenlöschung mit einem Klick

HINWEIS
Calyx dient dem persönlichen Wohlbefinden und der Zyklusbeobachtung. Es ersetzt weder ärztliche Diagnose noch Empfängnisverhütung."
"el","Greek","Calyx: Παρακολούθηση κύκλου","Ιδιωτική παρακολούθηση εμμηνορροϊκού κύκλου και ανάλυση βιοδεικτών.","Το Calyx είναι μια εφαρμογή παρακολούθησης του εμμηνορροϊκού κύκλου και των κιρκάδιων ρυθμών με απόλυτο σεβασμό στην ιδιωτικότητα.

ΣΥΓΧΡΟΝΙΣΜΟΣ ΦΑΣΕΩΝ ΚΥΚΛΟΥ
• Εμμηνορροϊκή φάση: Ανάπαυση, κυτταρική ανανέωση και αποκατάσταση
• Ωοθυλακική φάση: Αύξηση οιστρογόνων, ζωτικότητα και δημιουργικότητα
• Φάση ωορρηξίας: Κορύφωση ενέργειας, αυτοπεποίθηση και επικοινωνία
• Ωχρινική φάση: Συγκέντρωση, σταθερή αντοχή και κατάλληλη διατροφή

ΚΑΘΗΜΕΡΙΝΗ ΚΑΤΑΓΡΑΦΗ ΒΙΟΔΕΙΚΤΩΝ
• Ροή και ημερομηνίες περιόδου
• Βασική θερμοκρασία σώματος (BBT)
• Μεταβλητότητα καρδιακού ρυθμού (HRV)
• Ύπνος, επίπεδα ενέργειας, διάθεση και συμπτώματα

ΕΞΑΤΟΜΙΚΕΥΜΕΝΗ ΚΑΘΟΔΗΓΗΣΗ
• Προσαρμογή προπόνησης ανά φάση
• Διατροφή για ορμονική ισορροπία
• Βελτιστοποίηση ύπνου

ΚΛΙΝΙΚΗ ΑΝΑΦΟΡΑ & ΕΞΑΓΩΓΗ PDF
Δημιουργήστε ιατρική αναφορά A4 PDF για τον γυναικολόγο ή τον ενδοκρινολόγο σας.

ΑΣΦΑΛΕΙΑ HAVEN
• Αποκλειστικά τοπική αποθήκευση στη συσκευή σας
• Βιομετρικό κλείδωμα και PIN
• Παραπλανητικό PIN (Decoy) για προστασία υπό πίεση
• Άμεση και οριστική διαγραφή δεδομένων

ΑΠΟΠΟΙΗΣΗ ΕΥΘΥΝΗΣ
Το Calyx προορίζεται για ενημέρωση και ευεξία. Δεν αποτελεί ιατρική συμβουλή ή μέθοδο αντισύλληψης."
"es-ES","Spanish","Calyx: Ciclo y Salud Hormonal","Seguimiento privado del ciclo menstrual, biomarcadores y ritmo circadiano.","Calyx es un compañero de salud menstrual y ritmo circadiano diseñado con privacidad absoluta y almacenamiento local para ayudarte a entender los ritmos de tu cuerpo.

SINCRONIZACIÓN DE FASES DEL CICLO
Conoce en qué momento te encuentras dentro de las cuatro fases naturales:
• Fase Menstrual: Descanso, renovación celular y recuperación metabólica
• Fase Folicular: Incremento de estrógenos, vitalidad, creatividad y resistencia
• Pico Ovulatorio: Máxima energía, fluidez verbal y seguridad
• Fase Lútea: Progesterona, enfoque, resistencia constante y nutrición consciente

REGISTRO DIARIO DE BIOMARCADORES
Registra tus señales vitales en segundos:
• Volumen de flujo y fechas del periodo
• Temperatura Basal Corporal (TBC) y seguimiento del cambio térmico
• Variabilidad de la Frecuencia Cardíaca (VFC) y descanso del sistema nervioso
• Horas de sueño, calidad del descanso y niveles de energía
• Estado de ánimo, síntomas físicos y notas privadas cifradas

ORIENTACIÓN HORMONAL PERSONALIZADA
Accede a recomendaciones adaptadas a tu fase actual:
• Entrenamiento: Ajusta las sesiones de fuerza y cardio según tus hormonas
• Nutrición por fases: Alimentos densos en nutrientes para el equilibrio metabólico
• Sueño reparador: Hábitos circadianos para profundizar el descanso

DETECTIVE DE SÍNTOMAS
Identifica patrones entre ciclos y posibles detonantes de malestar cruzando datos de descanso, picos de temperatura basal y síntomas físicos.

INFORME CLÍNICO Y EXPORTACIÓN PDF
Prepara tus consultas con el ginecólogo o especialista:
• Genera informes clínicos completos en formato A4 PDF
• Curvas de temperatura basal y análisis de regularidad del ciclo

BÓVEDA DE SEGURIDAD HAVEN
Tu privacidad reproductiva es innegociable:
• Almacenamiento local exclusivo: Sin servidores en la nube ni rastreadores
• Bloqueo biométrico y código PIN
• Protocolo de PIN señuelo (Decoy): Muestra un panel de clima auténtico ante situaciones de coacción
• Borrado local inmediato de todos los registros

AVISO DE SALUD
Calyx está diseñado para el bienestar y conocimiento personal. No constituye asesoramiento médico, diagnóstico ni método anticonceptivo."
"fi","Finnish","Calyx: Kierto & Hormonit","Yksityinen kuukautiskierron seuranta ja biomerkkiaineiden analyysi.","Calyx on täysin laitteessasi toimiva, yksityisyyttä kunnioittava kuukautiskierron ja vuorokausirytmin seurantasovellus.

KIERTYVÄT VAIHEET
• Kuukautisvaihe: Lepo, solujen uusiutuminen ja palautuminen
• Follikulaarivaihe: Estrogeenin nousu, elinvoima ja luovuus
• Ovulaatiovaihe: Energian huippu, sosiaalisuus ja itsevarmuus
• Luteaalivaihe: Keskittyminen, tasainen kestävyys ja ravitsemus

PÄIVITTÄISET BIOMERKKIAINEET
• Vuodon määrä ja kierron päivät
• Peruslämpötila (BBT) ja lämpötilan nousun seuranta
• Sykevälivaihtelu (HRV) ja hermoston palautuminen
• Uni, energiataso, mieliala ja fyysiset oireet

HORMONAALINEN OPAS
• Harjoittelu hormonivaiheiden mukaan
• Vaiheravitsemus hormonitasapainon tueksi
• Syvän unen optimointi

LÄÄKÄRIRAPORTTI JA PDF-VIENTI
Luo lääkärikäyntejä varten A4-kokoinen PDF-yhteenveto lämpökäyrillä.

HAVEN-TURVAHOLVI
• Vain paikallinen tallennus ilman pilvipalvelimia
• Biometrinen lukitus ja PIN-koodi
• Valekoodi (Decoy PIN): Avaa neutraalin säänäkymän suojataksesi tietojasi
• Kaikkien tietojen nopea poisto

VASTUUVAPAUSLAUSEKE
Calyx on tarkoitettu hyvinvoinnin ja henkilökohtaisen terveyden seurantaan. Se ei ole lääketieteellinen laite tai ehkäisyväline."
"fr-FR","French","Calyx: Suivi Cycle & Hormones","Suivi privé du cycle menstruel, biomarqueurs et équilibre circadien.","Calyx est une application de suivi du cycle menstruel et des rythmes circadiens, pensée pour préserver votre vie privée et vous aider à vous synchroniser avec votre corps.

SYNCHRONISATION DES PHASES DU CYCLE
Suivez votre évolution à travers les quatre phases naturelles :
• Phase menstruelle : Repos, renouvellement cellulaire et récupération
• Phase folliculaire : Montée des œstrogènes, énergie, créativité et dynamisme
• Pic ovulatoire : Énergie maximale, clarté d'expression et confiance
• Phase lutéale : Action de la progestérone, endurance et alimentation adaptée

JOURNAL QUOTIDIEN DES BIOMARQUEURS
Enregistrez vos signaux vitaux facilement :
• Flux menstruel et dates de cycle
• Température basale corporelle (TBC) et décalage thermique
• Variabilité de la fréquence cardiaque (VFC) et récupération nerveuse
• Durée du sommeil, niveau d'énergie et variations de l'humeur
• Symptômes physiques et notes personnelles chiffrées

CONSEILS HORMONAUX PERSONNALISÉS
Des recommandations adaptées à chaque étape de votre cycle :
• Entraînement : Ajustez vos séances de renforcement et de cardio
• Nutrition cyclique : Aliments soutenant l'équilibre métabolique
• Sommeil : Habitudes pour favoriser un repos réparateur

DÉTECTIVE DES SYMPTÔMES
Identifiez les corrélations entre la dette de sommeil, les fluctuations thermiques et vos sensations physiques.

RAPPORT CLINIQUE ET EXPORT PDF
Préparez vos rendez-vous médicaux avec précision :
• Exportez un résumé médical A4 complet au format PDF
• Analyse des courbes thermiques et de la régularité du cycle

COFFRE-FORT DE SÉCURITÉ HAVEN
La confidentialité de vos données est absolue :
• Stockage exclusivement local sur votre appareil
• Protection par biométrie et code PIN
• Code PIN leurre (Decoy) : Ouvre un écran météo discret en cas de contrainte
• Effacement instantané et définitif de vos données

AVERTISSEMENT
Calyx est destiné au bien-être et au suivi personnel. Il ne constitue pas un avis médical, un outil de diagnostic ni une méthode contraceptive."
